snapped_at,price,market_cap,total_volume
2021-03-12 00:00:00 UTC,3.544890372449417e-11,0.0,12698721.435490057
2021-03-13 00:00:00 UTC,3.544890372449417e-11,0.0,12698721.435490057
2021-03-14 00:00:00 UTC,2.7239851621885822e-11,0.0,4711906.810435089
2021-03-15 00:00:00 UTC,2.276711980520152e-11,0.0,1814948.3626402533
2021-03-16 00:00:00 UTC,3.1976800418536546e-11,0.0,1701246.5326501606
2021-03-17 00:00:00 UTC,2.807747425454786e-11,0.0,1015235.6243679059
2021-03-18 00:00:00 UTC,2.1126616432418585e-11,0.0,764486.0036156685
2021-03-19 00:00:00 UTC,2.0963108885770783e-11,0.0,528203.5672427219
2021-03-20 00:00:00 UTC,1.7818568348394942e-11,0.0,370695.6617823714
2021-03-21 00:00:00 UTC,1.7147329013679173e-11,0.0,366779.8801209172
2021-03-22 00:00:00 UTC,1.2481281902033133e-11,0.0,264517.42800394236
2021-03-23 00:00:00 UTC,1.2533681483670112e-11,0.0,298949.06855150114
2021-03-24 00:00:00 UTC,1.187571614666716e-11,0.0,244659.20038143333
2021-03-25 00:00:00 UTC,9.457534146178276e-12,0.0,97678.63337107765
2021-03-26 00:00:00 UTC,7.305428315404949e-12,0.0,158825.5835906074
2021-03-27 00:00:00 UTC,8.744554690166982e-12,0.0,75000.84530646568
2021-03-28 00:00:00 UTC,7.207941603822243e-12,0.0,87204.98647397854
2021-03-29 00:00:00 UTC,7.65077530709498e-12,0.0,117989.49773999513
2021-03-30 00:00:00 UTC,9.388180178763074e-12,0.0,175681.49270139684
2021-03-31 00:00:00 UTC,7.174640793551022e-12,0.0,147500.4910580432
2021-04-01 00:00:00 UTC,8.115413911027788e-12,0.0,40188.31262358497
2021-04-02 00:00:00 UTC,7.999102012443929e-12,0.0,34368.73490269662
2021-04-03 00:00:00 UTC,8.651487749048857e-12,0.0,67464.89644106136
2021-04-04 00:00:00 UTC,9.409349711694989e-12,0.0,125216.1124046572
2021-04-05 00:00:00 UTC,1.0896905187671575e-11,0.0,98440.82778525469
2021-04-06 00:00:00 UTC,1.5142164424853263e-11,0.0,336492.33405253885
2021-04-07 00:00:00 UTC,1.6785648600218085e-11,0.0,128908.51118114604
2021-04-08 00:00:00 UTC,1.0765405784247135e-11,0.0,122495.6279666016
2021-04-09 00:00:00 UTC,1.4312424017942007e-11,0.0,167510.543742843
2021-04-10 00:00:00 UTC,1.4048118388124779e-11,0.0,70703.96999308128
2021-04-11 00:00:00 UTC,1.1963189826467365e-11,0.0,41306.46786258611
2021-04-12 00:00:00 UTC,1.2699972771176138e-11,0.0,65907.54441332053
2021-04-13 00:00:00 UTC,1.141913192572733e-11,0.0,36969.842109734855
2021-04-14 00:00:00 UTC,1.0186806811251541e-11,0.0,171570.7674852636
2021-04-15 00:00:00 UTC,1.1735694210638595e-11,0.0,88053.9619713492
2021-04-16 00:00:00 UTC,1.0874164849917239e-11,0.0,49752.54861206877
2021-04-17 00:00:00 UTC,1.6041310947745593e-11,0.0,332966.48587488075
2021-04-18 00:00:00 UTC,1.6507045452453323e-11,0.0,272346.985920876
2021-04-19 00:00:00 UTC,1.73793807478732e-11,0.0,146794.0332617342
2021-04-20 00:00:00 UTC,2.535535192897852e-11,0.0,566485.1041715589
2021-04-21 00:00:00 UTC,2.2910016891203388e-11,0.0,394760.2434730842
2021-04-22 00:00:00 UTC,3.6902626563928263e-11,0.0,706861.8319086288
2021-04-23 00:00:00 UTC,3.763102344641257e-11,0.0,525398.082482148
2021-04-24 00:00:00 UTC,3.467350854044197e-11,0.0,192188.36624054302
2021-04-25 00:00:00 UTC,3.043824528327816e-11,0.0,151969.78805866028
2021-04-26 00:00:00 UTC,3.123134254438756e-11,0.0,188072.51568510963
2021-04-27 00:00:00 UTC,3.7861117684219295e-11,0.0,276701.0422819277
2021-04-28 00:00:00 UTC,4.012478511145507e-11,0.0,164942.19175500126
2021-04-29 00:00:00 UTC,3.0721706524230225e-11,0.0,203791.47274539788
2021-04-30 00:00:00 UTC,2.729627649392701e-11,0.0,177015.3012470981
2021-05-01 00:00:00 UTC,2.7548121812434492e-11,0.0,152807.96908719424
