"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0x9c80d7eefae4efcda56d7cd5f726ec038d4d0e17c337c7fd1e9d96c06202123f","1619841790",2021-05-01 04:03:10,Sell,104259279317.96, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x15cca7bd171de72681067a8ba69e717a04eef4eb1bac3eb674a86423f2afa4bb","1619841894",2021-05-01 04:04:54,Sell,10104940045993.2, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xb98e4e67ecf720e23265a6cfed793798d9ba6d9b6f0e3d35f60a31666e13d0f8","1619841902",2021-05-01 04:05:02,Sell,3122409629524.6, BUNNY, 0.0339314475474662, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xe5819c052ddf0b2bb665545df7b51858a95a2cb7bd9d72245652267254e10e23","1619842412",2021-05-01 04:13:32,Sell,1506318060662.91, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x17e31f5db71d0e75a0f67bb48941f9839fe9ee6495673761607b7814a5287966","1619843118",2021-05-01 04:25:18,Sell,112949235368.644, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x17e31f5db71d0e75a0f67bb48941f9839fe9ee6495673761607b7814a5287966","1619843118",2021-05-01 04:25:18,Sell,112949235368.644, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xfeedbaab4ef25a87a1dea4b1bff17a89d0bdf75a342f8ae63b148265f96f1eb5","1619843432",2021-05-01 04:30:32,Sell,1393606938175.98, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xbea770de3a6231cba9e6f08fd26df0a20821fbc5a967e8f0e3fb034f818b5a6e","1619844706",2021-05-01 04:51:46,Sell,9233179978.45986, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x3dd34074fd709d2b85a6dcd97fde3cc161a7d6254ff6e56719c59c66a82164a6","1619845464",2021-05-01 05:04:24,Sell,32309896893.69, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xaac4eb0ce06236f1c57b577df32534ac18f5ca8be1b42af2ad401ba392dfa391","1619847051",2021-05-01 05:30:51,Sell,247691535289.536, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x043b5aa128b6cc2e1394725b38fb584d9c59d791796b02eb7730ddeab4b9c162","1619847400",2021-05-01 05:36:40,Sell,15437864383.3832, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x05819b69336cfce084375fa090d0d807d51b23816d2b647e9296f4643a26953e","1619847815",2021-05-01 05:43:35,Sell,18990775456713.5, BUNNY, 0.211642859398081, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xc44cfff940667582ab16f50f6fd771b79d072f72792c3525154c90b65158aee8","1619848023",2021-05-01 05:47:03,Sell,633036204.834043, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x3f086690f7526d791f5ac3e5e21c4173e54e23f067afa88df29e4dd2fe627f96","1619848224",2021-05-01 05:50:24,Sell,147824113474.82, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x37ca625b65b125c1a60e2f41c9fc4d28bcb6c779fb96482d07dc5d8d722502d8","1619849103",2021-05-01 06:05:03,Sell,32310406865.1631, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xfad613955fbac6ea55ac2b3cdb51040de187cb59b62c703f9194ca409d440439","1619849833",2021-05-01 06:17:13,Sell,222654791846.638, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xe01942a0a6e559a95279074a75e8e73ee97da166d97afa91f17f9be1920e92f3","1619849901",2021-05-01 06:18:21,Sell,306845254809.01, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x48bf351dfd077868bd9d53d432f9ca2c99d265e0bc02d14639814acf030b67bc","1619850928",2021-05-01 06:35:28,Sell,322819055161.217, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x0bbea94a61ca773af6cce9d72a2f6666b3a4f3ab5c8c309ce87c826ae138f68f","1619851385",2021-05-01 06:43:05,Sell,8903924807764.71, BUNNY, 0.0999262007123131, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x0bbea94a61ca773af6cce9d72a2f6666b3a4f3ab5c8c309ce87c826ae138f68f","1619851385",2021-05-01 06:43:05,Sell,8903924807764.71, BUNNY, 0.0999262007123131, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x76d1ce197155e9a911d2c0629bfe7444d845ddd5dee64edd69d8a48684e028e1","1619851868",2021-05-01 06:51:08,Sell,183583993439.362, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x7148881f7f84a8ab4e1d61a649489a30cbfbd2a6f989ca74663928a29f3152fe","1619852161",2021-05-01 06:56:01,Sell,141036155955.12, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x945da6d94ac6bd07b1f8b1de3504a2dbee816c2e92f6d75654609db82221e7a8","1619852161",2021-05-01 06:56:01,Sell,18293764904.661, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x7721f97422b9c67ffb2a1ccede7288dba57cf38e0b99a8559bfe6ab517514e43","1619852338",2021-05-01 06:58:58,Sell,13718315178.7234, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xdbd444653ec91be2f1bbcddd3a44689fd7831ab2bb06d7f49e1564349a8fc083","1619855090",2021-05-01 07:44:50,Sell,107719240278.471, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x5bdd66b281b2d85793e34206414a05599702780f5cf9a0f6c8cb1ef8d6f49421","1619855712",2021-05-01 07:55:12,Sell,36572863074.6997, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x1575ae78e2678b0494558c80ae8ee5b718bbe41a130f1cba2c2d29f21b862d14","1619855790",2021-05-01 07:56:30,Sell,25118472812.4882, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xaef706cc32698d1f85ecd3b857fb45a2a1f5a4e17d0ff236d2010c642c348b42","1619855805",2021-05-01 07:56:45,Sell,45688195577.4762, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xd49404719ca5eed48cb1faa458504d90bb1dac39e46d3c6275246dd78722ae45","1619856332",2021-05-01 08:05:32,Sell,110235166637.204, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xb19a8b925676e1b5f9731dfa1bd3c03472d2c58e2aa0905f1cc3d622c46edc5c","1619856755",2021-05-01 08:12:35,Sell,110329485853.357, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x8ffa98d57b07c15c2415919262b41877b40a22e0bbb3335259c2da78fa3eda31","1619856995",2021-05-01 08:16:35,Sell,273431659413.715, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x085d953fc00fc9dcb2b330cdb0ec8fb8579fc19d2b5d94b23db7acd620f3a82d","1619857265",2021-05-01 08:21:05,Sell,5271924092189.97, BUNNY, 0.0595785331470162, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x156413877927d305bf9f5ff7d521a0678c56b54f016fb2c654130d97880f2415","1619857416",2021-05-01 08:23:36,Sell,13307767572101.4, BUNNY, 0.15026253721191, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xadd27f2ac91fce8eaf48a6e095beb7c3343c1e1884f850e19deb0476a862c787","1619857533",2021-05-01 08:25:33,Sell,34323948615853.6, BUNNY, 0.386706886997369, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x548e9e38e6298bcaa50531a8b12adce4262203ece4a5a42d581ad78b30c266b4","1619857934",2021-05-01 08:32:14,Sell,69508210855.4214, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xeedcbd000b5f15c084a31f78d4b07c13b86c9a4aee9600e5c346998e9c1144f0","1619858099",2021-05-01 08:34:59,Sell,20967744688.2024, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
