snapped_at,price,market_cap,total_volume
2021-03-12 00:00:00 UTC,3.544890372449417e-11,0.0,12698721.435490057
2021-03-13 00:00:00 UTC,3.544890372449417e-11,0.0,12698721.435490057
2021-03-14 00:00:00 UTC,2.7239851621885822e-11,0.0,4711906.810435089
2021-03-15 00:00:00 UTC,2.276711980520152e-11,0.0,1814948.3626402533
2021-03-16 00:00:00 UTC,3.1976800418536546e-11,0.0,1701246.5326501606
2021-03-17 00:00:00 UTC,2.807747425454786e-11,0.0,1015235.6243679059
2021-03-18 00:00:00 UTC,2.1126616432418585e-11,0.0,764486.0036156685
2021-03-19 00:00:00 UTC,2.0963108885770783e-11,0.0,528203.5672427219
2021-03-20 00:00:00 UTC,1.7818568348394942e-11,0.0,370695.6617823714
2021-03-21 00:00:00 UTC,1.7147329013679173e-11,0.0,366779.8801209172
2021-03-22 00:00:00 UTC,1.2481281902033133e-11,0.0,264517.42800394236
2021-03-23 00:00:00 UTC,1.2533681483670112e-11,0.0,298949.06855150114
2021-03-24 00:00:00 UTC,1.187571614666716e-11,0.0,244659.20038143333
2021-03-25 00:00:00 UTC,9.457534146178276e-12,0.0,97678.63337107765
2021-03-26 00:00:00 UTC,7.305428315404949e-12,0.0,158825.5835906074
2021-03-27 00:00:00 UTC,8.744554690166982e-12,0.0,75000.84530646568
2021-03-28 00:00:00 UTC,7.207941603822243e-12,0.0,87204.98647397854
2021-03-29 00:00:00 UTC,7.65077530709498e-12,0.0,117989.49773999513
2021-03-30 00:00:00 UTC,9.388180178763074e-12,0.0,175681.49270139684
2021-03-31 00:00:00 UTC,7.174640793551022e-12,0.0,147500.4910580432
2021-04-01 00:00:00 UTC,8.115413911027788e-12,0.0,40188.31262358497
2021-04-02 00:00:00 UTC,7.999102012443929e-12,0.0,34368.73490269662
2021-04-03 00:00:00 UTC,8.651487749048857e-12,0.0,67464.89644106136
